# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/artkal_c.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 174 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
C01,White,234,238,243,
C02,Black,41,42,43,
C03,Tangerine,255,166,48,
C04,Yellow Orange,230,135,57,
C05,Tall Poppy,203,53,49,
C06,Red,182,25,39,
C07,Carnation Pink,225,130,176,
C08,Hot Pink,220,81,154,
C09,Magenta,218,67,131,
C10,Picasso,234,222,127,
C11,Yellow,234,193,37,
C12,Pistachio,151,207,135,
C13,Pastel Green,139,178,58,
C14,Green,0,144,83,
C15,Green Tea,0,118,95,
C16,Bright Carrot,249,111,64,
C17,Orange,235,96,39,
C18,Sky Blue,167,205,222,
C19,Baby Blue,46,171,216,
C20,Light Blue,0,132,206,
C21,Dark Blue,0,79,164,
C22,Bubble Gun,242,191,184,
C23,Sand,220,163,132,
C24,Beeswax,238,211,158,
C25,Lavender,138,126,194,
C26,Pastel Lavender,145,101,178,
C27,Purple,72,51,126,
C28,Marigold,178,121,56,
C29,Buccaneer,179,85,64,
C30,Redwood,154,69,65,
C31,Light Brown,137,93,73,
C32,Brown,101,70,61,
C33,Gray,149,150,152,
C34,Dark Gray,112,117,123,
C35,Silver,103,107,115,
C36,Old Pink,206,109,131,
C37,True Blue,0,120,191,
C38,Turquoise,85,164,217,
C39,Shadow Green,158,201,205,
C40,Key Lomen Pie,205,192,63,
C41,Pastel Yellow,225,211,103,
C42,Sandstorm,225,200,53,
C43,Paprika,177,24,54,
C44,Burning Sand,238,146,124,
C46,Canary,226,230,93,
C47,Vanilla,233,193,166,
C48,Corn,236,192,61,
C49,Raspberry Pink,239,103,178,
C50,Maverick,192,183,215,
C51,Spring Sun,223,218,189,
C52,Butterfly Bush,79,57,137,
C53,Bright Green,142,195,36,
C54,Medium Turquoise,0,165,161,
C56,Oslo Gray,130,135,139,
C58,Black Rock,54,56,77,
C60,Sea Mist,178,215,206,
C69,Mine Shaft,56,62,68,
C70,Brunswick Green,21,56,56,
C71,Goldenrod,232,174,0,
C72,Pastel Orange,217,179,94,
C73,Sienna,187,104,51,
C74,Deer,205,178,119,
C75,Clay,170,116,78,
C76,Coral Red,236,98,94,
C77,Deep Chestnut,190,93,101,
C78,Red Wine,153,50,58,
C79,Light Sea Blue,104,196,210,
C80,Sea Blue,0,147,169,
C81,Steel Blue,90,176,191,
C82,Azure,0,158,194,
C83,Dark Steel Blue,0,132,178,
C84,Drark Algae,173,173,41,
C85,Dark Olive,143,142,60,
C86,Jade Green,0,125,43,
C87,Ghost While,212,216,211,
C88,Ash Grey,194,196,194,
C89,Light Gray,167,172,173,
C90,Charcoal Gray,86,90,94,
C91,Dandelion,206,164,51,
C92,Pale Skin,220,183,148,
C93,Warm Blush,221,146,133,
C94,Salmon,224,123,105,
C95,Apricot,239,127,97,
C96,Papaya,220,119,43,
C97,Himalaya Blue,106,174,219,
C98,Waterfall,97,187,211,
C99,Lagoon,39,155,190,
C100,Electric Blue,0,167,227,
C101,Pool Blue,0,119,202,
C102,Caribbian Blue,0,90,169,
C103,Deep Water,0,127,158,
C104,Petrol Blue,0,125,145,
C105,Wegdewood Blue,0,100,154,
C106,Pond Blue,0,108,159,
C107,Seashell Beige,207,193,121,
C108,Beige,196,174,100,
C109,Beach Beige,171,151,69,
C110,Caffe Latté,151,129,56,
C111,Oaktree Brown,144,124,65,
C112,Khaki,182,174,132,
C113,Light Greengray,165,159,101,
C114,Mossy Green,147,141,84,
C115,Earth Green,141,139,81,
C116,Sage Green,127,126,73,
C117,Pinetree Green,91,110,53,
C118,Frosty Blue,138,213,201,
C119,Polar Mint,124,210,165,
C120,Celadon Green,114,172,154,
C121,Eucalyptus,0,178,111,
C122,Clover Field,62,183,36,
C123,Pooltable Felt,13,117,53,
C124,Snake Green,0,125,110,
C125,Dark Eucalyptus,0,110,105,
C126,Marsmallow Rose,223,195,225,
C127,Light Grape,211,142,212,
C128,Rosebud Pink,213,166,186,
C129,Fuschia,214,102,142,
C130,Candy Violet,184,170,217,
C131,Flamingo,223,72,109,
C132,Pink Plum,188,60,166,
C133,Amethyst,128,56,151,
C134,Moonlight Blue,167,186,225,
C135,Summer Rain,175,184,223,
C136,Azur Blue,107,154,212,
C137,Cornflower Blue,90,137,206,
C138,Forget Me Not,101,138,208,
C139,Indigo,86,108,189,
C140,Horizon Blue,77,116,198,
C141,Cobolt,65,109,190,
C142,Royal Blue,48,66,158,
C143,Marine,2,66,136,
C144,Pale Yellow Moss,214,202,106,
C145,Bloodrose Red,157,26,56,
C146,Spearmint,128,183,161,
C147,Mocha,122,89,79,
C148,Creme,239,219,161,
C149,Iris Violet,136,132,208,
C150,Forrest Green,52,86,33,
C151,Lilac,174,173,220,
C152,Pale Lilac,188,195,225,
C153,Sahara Sand,227,192,154,
C154,Sunkissed Teint,197,139,96,
C155,Steel Grey,90,95,101,
C156,Iron Grey,76,81,86,
C157,Pepper,58,62,66,
C45,Spring Green,93,219,93,
C55,Conifer,108,194,74,
C57,Fresh Red,188,4,35,
C59,Scarlett,83,26,35,
C61,Feta,241,235,156,
C62,Carnation,252,63,63,
C63,Pink Pearl,234,190,219,
C64,Rose,165,0,80,
C65,Mango,239,126,46,
C66,Wild Watermelon,252,108,133,
C67,Orchid,177,78,181,
C68,Toothpaste Blue,105,194,238,
CE01,Columbia Blue,195,206,214,
CE02,Pale Cerulean,154,178,219,
CE03,Silver Lake Blue,93,136,178,
CE04,Sky Blue (Crayola),2,189,209,
CE05,Maximum Blue Green,82,202,172,
CE06,Bright Navy Blue,45,109,178,
CE07,Black Shadows,194,163,183,
CE08,Mountbatten Pink,138,88,119,
CE09,Halayà Úbe,104,53,93,
CE10,Deep Mauve,184,79,168,
CE11,Heliotrope Magenta,176,47,164,
CE12,Rajah,226,163,101,
CE13,Earth Yellow,190,142,89,
CE14,Chinese Bronze,168,116,67,
CE15,Alloy Orange,160,110,82,
CE16,Orchid Pink,249,193,215,
CE17,Caput Mortuum,89,41,43,
