# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/artkal_r.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 89 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
R01,White,234,238,243,
R02,Burning Sand,238,146,124,
R03,Tangerine,255,166,48,
R04,Orange,235,96,39,
R05,Tall Poppy,203,53,49,
R06,Raspberry Pink,239,103,178,
R07,Gray,149,150,152,
R08,Emerald,31,196,103,
R09,Dark Green,0,104,94,
R10,Baby Blue,46,171,216,
R11,Dark Blue,0,79,164,
R12,Pastel Lavender,145,101,178,
R13,Black,41,42,43,
R14,Sandstorm,225,200,53,
R15,Redwood,154,69,65,
R16,Brown,101,70,61,
R17,Light Brown,137,93,73,
R18,Sand,220,163,132,
R19,Bubble Gun,242,191,184,
R20,Green,0,144,83,
R21,Pastel Green,139,178,58,
R22,Purple,72,51,126,
R23,Royal Purple,100,79,164,
R24,True Blue,0,120,191,
R25,Hot Pink,220,81,154,
R26,Magenta,218,67,131,
R27,Yellow,234,193,37,
R28,Lily Pink,221,161,204,
R29,Pastel Yellow,225,211,103,
R30,Shadow Green,158,201,205,
R31,Sea Mist,178,215,206,
R32,Beeswax,238,211,158,
R33,Maverick,192,183,215,
R34,Red,182,25,39,
R35,Mona Lisa,225,204,210,
R36,Old Pink,206,109,131,
R37,Blue-Green,96,191,203,
R38,Burgundy,163,19,74,
R39,Yellow Orange,230,135,57,
R40,Carnation Pink,225,130,176,
R41,Copper,157,91,46,
R42,Silver,103,107,115,
R43,Dark Gray,112,117,123,
R44,Sky Blue,167,205,222,
R45,Medium Turquoise,0,165,161,
R46,Bright Green,142,195,36,
R47,Marigold,178,121,56,
R48,Corn,236,192,61,
R49,Mulberry Wood,146,30,93,
R50,Mandys Pink,226,164,136,
R51,Spring Sun,223,218,189,
R52,Picasso,234,222,127,
R53,Turquoise,85,164,217,
R54,Light Blue,0,132,206,
R55,Black Rock,54,56,77,
R57,Pistachio,151,207,135,
R58,Canary,226,230,93,
R59,Bright Carrot,249,111,64,
R60,Blaze Orange,229,83,60,
R61,Vanilla,233,193,166,
R63,Buccaneer,179,85,64,
R64,Paprika,177,24,54,
R66,Lavender,138,126,194,
R68,Key Lomen Pie,205,192,63,
R69,Green Tea,0,118,95,
R70,Metallic Gold,105,96,70,
R71,Tan,204,155,116,
R72,Mine Shaft,56,62,68,
R73,Jade Green,0,125,43,
R74,Light Sea Blue,104,196,210,
R75,Azure,0,158,194,
R76,Sea Blue,0,147,169,
R77,Ghost While,212,216,211,
R78,Ash Grey,194,196,194,
R79,Light Gray,167,172,173,
R80,Pastel Orange,217,179,94,
R81,Deer,191,145,104,
R82,Clay,170,116,78,
R83,Sienna,187,104,51,
R84,Deep Chestnut,190,93,101,
R85,Red Wine,153,50,58,
R86,Goldenrod,232,174,0,
R87,Coral Red,236,98,94,
R88,Charcoal Gray,86,90,94,
R89,Drark Algae,173,173,41,
R90,Dark Olive,143,142,60,
R91,Steel Blue,90,176,191,
R92,Dark Steel Blue,0,132,178,
R93,Brunswick Green,21,56,56,
