# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/artkal_s.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 199 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
S01,White,234,238,243,
S02,Burning Sand,238,146,124,
S03,Tangerine,255,166,48,
S04,Orange,235,96,39,
S05,Tall Poppy,203,53,49,
S06,Raspberry Pink,239,103,178,
S07,Gray,149,150,152,
S08,Emerald,31,196,103,
S09,Dark Green,0,104,94,
S10,Baby Blue,46,171,216,
S11,Dark Blue,0,79,164,
S12,Pastel Lavender,145,101,178,
S13,Black,41,42,43,
S14,Sandstorm,225,200,53,
S15,Redwood,154,69,65,
S16,Brown,101,70,61,
S17,Light Brown,137,93,73,
S18,Sand,220,163,132,
S19,Bubble Gun,242,191,184,
S20,Green,0,144,83,
S21,Pastel Green,139,178,58,
S22,Purple,72,51,126,
S23,Royal Purple,100,79,164,
S24,True Blue,0,120,191,
S25,Hot Pink,220,81,154,
S26,Magenta,218,67,131,
S27,Yellow,234,193,37,
S28,Lily Pink,221,161,204,
S29,Pastel Yellow,225,211,103,
S30,Shadow Green,158,201,205,
S31,Sea Mist,178,215,206,
S32,Beeswax,238,211,158,
S33,Maverick,192,183,215,
S34,Red,182,25,39,
S35,Mona Lisa,225,204,210,
S36,Old Pink,206,109,131,
S37,Blue-Green,96,191,203,
S38,Burgundy,163,19,74,
S39,Yellow Orange,230,135,57,
S40,Carnation Pink,225,130,176,
S41,Copper,157,91,46,
S42,Silver,103,107,115,
S43,Dark Gray,112,117,123,
S44,Sky Blue,167,205,222,
S45,Medium Turquoise,0,165,161,
S46,Bright Green,142,195,36,
S47,Marigold,178,121,56,
S48,Corn,236,192,61,
S49,Mulberry Wood,146,30,93,
S50,Mandys Pink,226,164,136,
S51,Spring Sun,223,218,189,
S52,Picasso,234,222,127,
S53,Turquoise,85,164,217,
S54,Light Blue,0,132,206,
S55,Pistachio,151,207,135,
S56,Bright Carrot,249,111,64,
S57,Buccaneer,179,85,64,
S58,Paprika,177,24,54,
S59,Butterfly Bush,79,57,137,
S60,Lavender,138,126,194,
S61,Key Lomen Pie,205,192,63,
S62,Green Tea,0,118,95,
S63,Metallic Gold,105,96,70,
S64,Black Rock,54,56,77,
S65,Canary,226,230,93,
S66,Blaze Orange,229,83,60,
S67,Vanilla,233,193,166,
S68,Tan,204,155,116,
S69,Mine Shaft,56,62,68,
S70,Drark Algae,173,173,41,
S71,Jade Green,0,125,43,
S72,Light Sea Blue,104,196,210,
S73,Steel Blue,90,176,191,
S74,Azure,0,158,194,
