# source: https://raw.githubusercontent.com/lft123454321/bead_color_matcher/main/COCO_ALL.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 293 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
A01,A01,254,255,255,
A02,A02,253,251,255,
A03,A03,255,253,240,
A04,A04,255,245,237,
A05,A05,246,239,226,
A06,A06,245,236,210,
A07,A07,241,237,237,
A08,A08,237,237,237,
A09,A09,231,214,219,
A10,A10,238,233,234,
A11,A11,255,251,225,
A12,A12,202,202,212,
B01,B01,206,205,213,
B02,B02,207,215,211,
B03,B03,182,177,186,
B04,B04,152,166,168,
B05,B05,137,133,140,
B06,B06,72,70,78,
B07,B07,47,43,47,
B08,B08,29,20,20,
B09,B09,0,0,0,
B10,B10,148,159,163,
B11,B11,154,157,148,
C01,C01,253,78,106,
C02,C02,252,61,70,
C03,C03,247,73,65,
C04,C04,243,87,68,
C05,C05,253,84,61,
C06,C06,252,40,60,
C07,C07,231,0,47,
C08,C08,211,0,34,
C09,C09,188,0,40,
C10,C10,151,25,55,
D01,D01,251,221,153,
D02,D02,254,190,125,
D03,D03,244,215,56,
D04,D04,255,195,101,
D05,D05,254,172,76,
D06,D06,255,153,91,
D07,D07,247,124,49,
D08,D08,254,139,76,
E01,E01,255,255,213,
E02,E02,250,244,200,
E03,E03,255,255,159,
E04,E04,255,243,101,
E05,E05,254,255,139,
E06,E06,255,227,110,
E07,E07,251,237,86,
E08,E08,255,218,69,
E09,E09,255,213,104,
E10,E10,255,227,149,
E11,E11,244,245,125,
E12,E12,230,201,183,
E13,E13,247,248,162,
E14,E14,255,214,125,
E15,E15,255,200,48,
F01,F01,238,252,165,
F02,F02,202,235,123,
F03,F03,197,237,156,
F04,F04,158,247,128,
F05,F05,230,238,49,
F06,F06,173,233,70,
F07,F07,230,238,73,
F08,F08,99,243,71,
F09,F09,93,224,53,
F10,F10,53,227,82,
F11,F11,28,156,79,
F12,F12,22,111,65,
F13,F13,155,177,58,
F14,F14,93,114,42,
F15,F15,46,81,50,
F16,F16,39,82,58,
F17,F17,48,58,33,
F18,F18,78,132,109,
F19,F19,141,122,53,
F20,F20,204,225,175,
F21,F21,158,119,185,
F22,F22,197,226,84,
F23,F23,226,252,177,
F24,F24,176,231,146,
F25,F25,156,171,90,
G01,G01,232,255,231,
G02,G02,194,240,204,
G03,G03,149,211,194,
G04,G04,101,226,166,
G05,G05,61,175,128,
G06,G06,36,184,140,
G07,G07,21,106,107,
G08,G08,11,60,67,
GB1,GB1,218,171,179,pearl
GB2,GB2,214,170,135,pearl
GB3,GB3,193,189,141,pearl
GB4,GB4,150,182,159,pearl
GB5,GB5,132,157,198,pearl
GB6,GB6,148,191,226,pearl
GB7,GB7,226,169,210,pearl
GB8,GB8,171,145,192,pearl
H01,H01,205,232,255,
H02,H02,213,253,255,
H03,H03,169,249,252,
H04,H04,160,226,251,
H05,H05,65,204,255,
H06,H06,190,221,255,
H07,H07,1,172,235,
H08,H08,80,170,240,
H09,H09,62,188,226,
H10,H10,40,221,222,
H11,H11,34,196,198,
H12,H12,24,135,162,
H13,H13,54,119,210,
H14,H14,15,84,192,
H15,H15,47,84,175,
H16,H16,50,75,202,
H17,H17,23,109,175,
H18,H18,21,84,168,
H19,H19,4,209,246,
H20,H20,24,42,132,
H21,H21,51,58,149,
H22,H22,47,31,144,
H23,H23,28,51,77,
H24,H24,29,51,68,
H25,H25,103,180,190,
H26,H26,200,226,255,
H27,H27,124,196,255,
H28,H28,169,229,229,
H29,H29,60,174,216,
H30,H30,211,223,250,
H31,H31,187,207,237,
H32,H32,52,72,142,
J01,J01,227,225,238,
J02,J02,235,218,252,
J03,J03,226,211,255,
J04,J04,213,185,248,
J05,J05,196,212,246,
J06,J06,185,186,225,
J07,J07,172,180,242,
