# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/hama.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 92 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
H01,White,229,236,241,
H02,Cream,228,228,197,
H03,Yellow,233,199,4,
H04,Orange,209,72,3,
H05,Red,180,6,14,
H06,Pink,234,138,165,
H07,Purple,113,34,151,
H08,Blue,2,57,163,
H09,Light Blue,2,91,195,
H10,Green,2,118,67,
H11,Light Green,25,205,167,
H12,Brown,62,39,26,
H13,Transparent Red,192,36,53,
H14,Transparent Yellow,228,170,50,
H16,Transparent Green,55,184,118,
H17,Grey,131,143,152,
H18,Black,20,19,21,
H19,Clear,216,210,206,
H20,Reddish Brown,141,42,15,
H21,Light Brown,190,108,33,
H22,Dark Red,145,2,10,
H24,Translucent Purple,104,62,154,
H25,Translucent Brown,135,89,61,
H26,Matt Rose,232,164,152,
H27,Beige,220,177,142,
H28,Dark Green,30,44,28,
H29,Claret,191,1,66,
H30,Burgundy,78,12,27,
H31,Turquoise,72,154,185,
H32,Neon Fuchsia,255,32,141,
H33,Cerise,255,57,86,
H34,Neon Yellow,229,239,19,
H35,Neon Red,255,40,51,
H36,Neon Blue,35,83,176,
H37,Neon Green,6,183,60,
H38,Neon Orange,253,134,0,
H39,Fluorescent Yellow,241,242,28,
H40,Fluorescent Orange,254,99,11,
H41,Fluorescent Blue,38,89,178,
H42,Fluorescent Green,12,189,81,
H43,Pastel Yellow,231,228,90,
H44,Pastel Red,249,97,96,
H45,Pastel Purple,142,105,205,
H46,Pastel Blue,81,174,228,
H47,Pastel Green,128,223,150,
H48,Pastel Pink,214,122,209,
H49,Azure,15,172,209,
H60,Teddybear Brown,240,152,30,
H70,Light Grey,165,179,192,
H71,Dark Grey,68,80,89,
H75,Tan,183,140,109,
H76,Nougat,138,89,55,
H77,Cloudy White,206,209,200,
H78,Light Peach,247,193,170,
H79,Apricot,248,118,51,
H82,Plum,145,23,90,
H83,Petrol Blue,3,122,159,
H84,Olive Green,104,120,54,
H95,Pastel Rose,221,155,163,
H96,Pastel Lilac,180,145,173,
H97,Pastel Ice Blue,138,175,194,
H98,Pastel Mint,148,204,164,
H15,Transparent Blue,72,126,213,
H55,Green (Glow in the Dark),250,248,237,
H56,Red (Glow in the Dark),237,191,159,
H57,Blue (Glow in the Dark),196,208,227,
H61,Gold,217,147,80,
H62,Silver,72,71,74,
H63,Bronze,66,49,47,
H64,Pearl,239,235,228,
H72,Translucent Pink,240,151,176,
H73,Translucent Aqua,89,174,245,
H74,Translucent Lilac,91,85,189,
H101,Eucalyptus,169,195,155,
H102,Forest Green,53,107,45,
H103,Light Yellow,255,230,96,
H104,Lime,188,209,34,
H105,Light Apricot,255,172,120,
H106,Light Lavender,204,197,237,
H107,Lavender,106,135,193,
H108,Aubergine,42,37,54,
H109,Cloudy Grey,138,132,127,
H110,Matcha,131,137,86,
H111,Dark Blush,131,88,84,
H112,Blush,173,138,130,
H113,Aqua,95,136,123,
H114,Cherry Red,154,44,49,
H115,Bright Green,110,151,95,
H116,Midnight Blue,34,40,56,
H117,Taupe Grey,119,113,105,
H118,Maroon Red,97,41,50,
H119,Sky Blue,65,103,180,
