# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/mard.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 291 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
A1,A1,249,240,205,
A10,A10,255,157,85,
A11,A11,255,221,153,
A12,A12,252,181,143,
A13,A13,255,187,89,
A14,A14,255,109,64,
A15,A15,253,255,68,
A16,A16,254,249,174,
A17,A17,255,227,110,
A18,A18,254,207,152,
A19,A19,253,123,114,
A2,A2,251,251,212,
A20,A20,239,205,103,
A21,A21,255,227,149,
A22,A22,255,243,164,
A23,A23,243,213,191,
A24,A24,251,248,201,
A25,A25,255,214,125,
A26,A26,255,187,39,
A3,A3,250,252,159,
A4,A4,255,233,83,
A5,A5,244,215,56,
A6,A6,253,173,73,
A7,A7,255,124,47,
A8,A8,234,202,73,
A9,A9,255,153,90,
B1,B1,230,238,50,
B10,B10,149,211,194,
B11,B11,93,114,42,
B12,B12,21,111,64,
B13,B13,217,247,148,
B14,B14,173,233,69,
B15,B15,46,81,50,
B16,B16,198,237,156,
B17,B17,155,177,58,
B18,B18,230,238,73,
B19,B19,37,184,140,
B2,B2,91,228,25,
B20,B20,194,240,204,
B21,B21,20,106,107,
B22,B22,11,60,67,
B23,B23,48,57,33,
B24,B24,238,252,165,
B25,B25,78,132,109,
B26,B26,140,122,54,
B27,B27,209,220,193,
B28,B28,158,229,185,
B29,B29,197,226,84,
B3,B3,124,238,157,
B30,B30,236,251,208,
B31,B31,196,230,181,
B32,B32,155,171,90,
B4,B4,30,249,66,
B5,B5,0,189,53,
B6,B6,90,232,186,
B7,B7,3,172,136,
B8,B8,2,157,38,
B9,B9,38,82,58,
C1,C1,232,255,231,
C10,C10,62,188,226,
C11,C11,3,185,185,
C12,C12,28,51,77,
C13,C13,205,232,255,
C14,C14,213,253,255,
C15,C15,35,196,198,
C16,C16,23,87,168,
C17,C17,80,211,236,
C18,C18,28,51,68,
C19,C19,23,135,162,
C2,C2,188,249,246,
C20,C20,0,130,190,
C21,C21,190,221,255,
C22,C22,103,180,190,
C23,C23,194,220,235,
C24,C24,125,196,255,
C25,C25,169,229,229,
C26,C26,47,153,179,
C27,C27,235,245,252,
C28,C28,187,207,237,
C29,C29,75,91,163,
C3,C3,160,226,251,
C4,C4,66,204,255,
C5,C5,1,172,235,
C6,C6,80,169,240,
C7,C7,1,136,211,
C8,C8,16,84,192,
C9,C9,49,75,202,
D1,D1,174,180,242,
D10,D10,54,27,80,
D11,D11,185,186,225,
D12,D12,222,154,212,
D13,D13,185,2,149,
D14,D14,139,39,155,
D15,D15,47,31,144,
D16,D16,226,225,238,
D17,D17,196,212,246,
D18,D18,164,94,199,
D19,D19,216,195,215,
D2,D2,133,142,221,
D20,D20,156,50,178,
D21,D21,154,0,155,
D22,D22,51,57,149,
D23,D23,234,218,252,
D24,D24,119,134,229,
D25,D25,72,79,199,
D26,D26,233,195,246,
D3,D3,48,84,175,
D4,D4,24,42,132,
D5,D5,184,67,197,
D6,D6,172,123,222,
D7,D7,110,57,154,
D8,D8,226,211,255,
D9,D9,213,185,248,
E1,E1,253,211,204,
E10,E10,211,56,147,
E11,E11,252,221,210,
E12,E12,255,161,197,
E13,E13,182,0,109,
E14,E14,255,209,186,
E15,E15,242,207,208,
E16,E16,255,236,222,
E17,E17,255,226,234,
E18,E18,255,201,214,
E19,E19,255,210,231,
E2,E2,254,205,223,
E20,E20,216,199,209,
E21,E21,189,157,161,
E22,E22,204,120,167,
E23,E23,147,122,141,
E24,E24,246,228,249,
E3,E3,255,151,195,
E4,E4,232,100,158,
E5,E5,245,81,162,
E6,E6,255,52,107,
E7,E7,198,53,120,
E8,E8,255,219,233,
E9,E9,233,112,204,
F1,F1,253,149,123,
F10,F10,167,77,34,
F11,F11,111,32,31,
F12,F12,253,77,106,
F13,F13,221,66,47,
F14,F14,255,169,173,
F15,F15,200,0,32,
F16,F16,255,217,200,
F17,F17,247,155,113,
F18,F18,211,124,70,
F19,F19,193,68,74,
F2,F2,252,61,69,
F20,F20,205,147,145,
F21,F21,244,177,180,
F22,F22,255,208,203,
F23,F23,245,126,102,
F24,F24,252,193,196,
F25,F25,229,75,79,
F3,F3,247,73,65,
F4,F4,252,40,60,
F5,F5,216,1,39,
F6,F6,176,68,61,
F7,F7,151,25,55,
F8,F8,188,1,39,
F9,F9,226,103,122,
G1,G1,255,226,206,
G10,G10,200,129,53,
G11,G11,224,197,147,
G12,G12,235,187,131,
G13,G13,183,113,74,
G14,G14,141,97,76,
G15,G15,252,249,224,
G16,G16,242,217,186,
G17,G17,86,64,60,
G18,G18,255,228,204,
G19,G19,225,148,58,
G2,G2,255,202,170,
G20,G20,169,64,35,
G21,G21,203,142,119,
G3,G3,244,195,165,
G4,G4,225,179,131,
G5,G5,237,148,53,
G6,G6,245,151,52,
G7,G7,157,91,62,
G8,G8,89,42,33,
G9,G9,230,180,131,
H1,H1,226,226,226,
H10,H10,238,233,234,
H11,H11,206,205,213,
H12,H12,255,245,237,
H13,H13,243,225,201,
H14,H14,207,215,211,
H15,H15,152,166,168,
H16,H16,59,47,35,
H17,H17,241,237,237,
H18,H18,255,253,240,
H19,H19,246,239,226,
H2,H2,255,255,255,
H20,H20,148,159,163,
H21,H21,247,243,228,
H22,H22,202,202,213,
H23,H23,154,157,148,
H3,H3,179,179,179,
H4,H4,134,134,134,
H5,H5,71,71,71,
H6,H6,44,44,44,
H7,H7,0,0,0,
H8,H8,231,214,219,
H9,H9,228,231,227,
M1,M1,188,198,184,
M10,M10,197,177,188,
M11,M11,159,116,148,
M12,M12,100,71,73,
M13,M13,209,144,102,
M14,M14,199,115,97,
M15,M15,117,125,123,
M2,M2,138,163,133,
M3,M3,105,125,128,
M4,M4,218,206,190,
M5,M5,208,204,170,
M6,M6,176,167,130,
M7,M7,180,164,151,
M8,M8,179,130,129,
M9,M9,165,135,103,
P1,P1,252,248,249,
P10,P10,213,200,233,
P11,P11,243,236,200,
P12,P12,230,238,241,
P13,P13,169,203,241,
P14,P14,49,119,176,
P15,P15,102,133,117,
P16,P16,255,190,70,
P17,P17,255,163,36,
P18,P18,254,184,159,
P19,P19,255,224,232,
P2,P2,189,169,171,
P20,P20,254,190,207,
P21,P21,236,190,192,
P22,P22,228,168,158,
P23,P23,165,98,105,
P3,P3,174,221,169,
P4,P4,253,164,158,
P5,P5,236,141,61,
P6,P6,96,207,168,
P7,P7,235,146,113,
P8,P8,240,217,88,
P9,P9,217,217,217,
Q1,Q1,242,165,232,
Q2,Q2,115,178,158,
Q3,Q3,255,255,0,
Q4,Q4,255,235,250,
Q5,Q5,79,94,91,
R1,R1,213,14,33,
R10,R10,255,219,77,
R11,R11,255,235,250,
R12,R12,216,213,206,
R13,R13,85,81,76,
R14,R14,158,228,223,
R15,R15,119,206,233,
R16,R16,61,207,202,
R17,R17,74,134,122,
R18,R18,127,205,157,
R19,R19,205,229,93,
R2,R2,249,46,131,
R20,R20,232,199,180,
R21,R21,173,111,60,
R22,R22,108,55,47,
R23,R23,254,184,114,
R24,R24,242,193,192,
R25,R25,201,103,93,
R26,R26,210,147,190,
R27,R27,234,140,177,
R28,R28,156,135,214,
R3,R3,253,130,37,
R4,R4,248,236,49,
R5,R5,52,199,91,
R6,R6,37,184,145,
R7,R7,23,119,157,
R8,R8,27,96,195,
R9,R9,154,86,180,
T1,T1,226,223,215,
Y1,Y1,253,111,180,
Y2,Y2,254,180,129,
Y3,Y3,215,250,160,
Y4,Y4,139,219,250,
Y5,Y5,233,135,234,
ZG1,ZG1,218,171,179,pearl
ZG2,ZG2,214,170,135,pearl
